Country Name,Sex,Year,HCI
Canada,Female,2010,0.786082327365875
Germany,Female,2010,0.778073608875275
France,Female,2010,0.777521073818207
United Kingdom,Female,2010,0.774502336978912
Italy,Female,2010,0.767416477203369
United States,Female,2010,0.704651892185211
Canada,Female,2017,0.808
China,Female,2017,0.674
Germany,Female,2017,0.802
United Kingdom,Female,2017,0.789
India,Female,2017,0.451
Italy,Female,2017,0.774
United States,Female,2017,0.757
Canada,Female,2018,0.810381829738617
China,Female,2018,0.65461403131485
Germany,Female,2018,0.776928842067719
France,Female,2018,0.773170411586761
United Kingdom,Female,2018,0.786778211593628
India,Female,2018,0.491595357656479
Italy,Female,2018,0.759639143943787
United States,Female,2018,0.730934500694275
Canada,Female,2020,0.81040757894516
China,Female,2020,0.659177899360657
Germany,Female,2020,0.767585933208466
France,Female,2020,0.780937075614929
United Kingdom,Female,2020,0.79137521982193
India,Female,2020,0.500491142272949
Italy,Female,2020,0.73801600933075
United States,Female,2020,0.720416069030762
Canada,Male,2010,0.762514710426331
Germany,Male,2010,0.744471967220306
France,Male,2010,0.736638903617859
United Kingdom,Male,2010,0.756516218185425
Italy,Male,2010,0.73397034406662
United States,Male,2010,0.678875505924225
Canada,Male,2017,0.79
China,Male,2017,0.657
Germany,Male,2017,0.783
United Kingdom,Male,2017,0.773
India,Male,2017,0.429
Italy,Male,2017,0.764
United States,Male,2017,0.726
Canada,Male,2018,0.790175378322601
China,Male,2018,0.640095114707947
Germany,Male,2018,0.751320600509644
France,Male,2018,0.739018738269806
United Kingdom,Male,2018,0.767385721206665
India,Male,2018,0.478702425956726
Italy,Male,2018,0.746420323848724
United States,Male,2018,0.697446584701538
Canada,Male,2020,0.785041689872742
China,Male,2020,0.646641552448273
Germany,Male,2020,0.736171841621399
France,Male,2020,0.745047450065613
United Kingdom,Male,2020,0.774549543857574
India,Male,2020,0.48725688457489
Italy,Male,2020,0.718084990978241
United States,Male,2020,0.684286594390869
